rating,text
3,"다시한번 말씀드리지만!!!
.
.

사진은 누가 찍느냐....
그것이 문제였습니다...
#장비탓 하지마세여...

1번~8번까지 사진은
친구가, 동생이 또는 블루투스(셀카)가.....
사랑으로 한땀한땀 찍어주신 작품이구여

9번,10번...은
남편이란 분이 찍어주셨....

아니 근데 오늘 #부부의날 이라는데
“남편아... 오늘 내가 모 잘못했어??”
#때릴까 ??
.
.
.
.
.
#파운드로컬 #바캉스카페 #오지힐 #55도커피로스터스 #더브릭1092 #더브릭하우스
요즘 #미팅의연속 이라
본의아니게 #카페투어 #핫플투어
근데 #핫플 일 수록
자리는 너무 불편해요
참고하세요ㅋㅋㅋ"
4,"자기님들!!!
#아이다코스메틱 #무기자차선크림 
샘플 받아보고 계시죠??
벌써 발라보시고 댓글이나 피드로
후기 남겨주시는 울 자기님들
사랑입니다?

무기자차가 어떻게
이런 발림성과 촉촉함과 수분감과
그러나 속건조를 유발하거나
확 뜨지 않도록
유분감의 밸런스를 이렇게도 잘 잡았는지!!!
무려 #논나노무기자차
SPF50 PA++++

말그대로
오일을 수분이 꽉 감싼 제형이에요!!!
오일을 감싼 터질듯한 수분광을 좋아하시면
#아이다코스메틱 선크림이 딱인거 같아요^^
#코시국 에 최최최고!!

(아시다시피 네이처벨르는
약간 기름진 오일광이 느껴지는
오일이 수분을 꽉 감싼 제형이에요??)

아이다는 지성~여드름~건성피부
즉, 모든피부타입에 추천드리고
네벨은 건성 중성피부에, 수부지는 겨울에 쓰기좋음
둘다 비교해서 꼭써보세용??

아니 근데
저.. 너무너무 궁금한데...
체험단으로 선크림 받은 자기님들
어떠신지..
한마디만 남겨주세여...
저만 오바육바칠바팔바 십바
아닌거져??"
5,"1~5번 사진은 아이폰 일반카메라
(흔들리면 더이쁨)
젤 마지막사진은 역시
#찬양하라 #어플

어제 #블루투스삼각대 안가져가서
아이린이
사진찍어주느라 고생 많이해쪄??

아니 근데
전 머리카락이 왤케 빨리 자라는거죠?
어릴땐 정말 머리 안자랐었는데 ㅋ ㅋ
이것도 노화의 일종인가여?

저또 이분뵈러 ㅋ ㅋ 일산가야겠어여
jinsil_xxk
멀고도험한 #단발의길 #단발병 약도없네여"
4,"??올 가을 출시예정인
디마프 #판테놀 30% 앰플
2차 샘플의 체험단을 발표해요!!

(1차 샘플 써보고 너무 너무 좋았으나
완성도를 최대로 높이기 위해
제조사에 수정사항 바로 전달하였는데
1주일만에 2차 샘플 보내주셨어요!)

1차 샘플과
2차 샘플은
약간의 차이가 있으나
2차가 조금 더 성분적으로 업그레이드 되었다 보면되구요^^

담주 월욜에
1차,2차 체험단 함께 발송될거같아요^^

2차 샘플 당첨자 자기님들 #소리질러 ?? 
by_hori
thehara_
lina_ssr
nee0847
m_y0__

너무 축하드려요!!!!
지금바로 디엠으로
어떤이벤트당첨되셨는지, 이름, 연락처, 주소, 우편번호, 인스타아이디
순으로 정확하게 하나의 텍스트로
디엠남겨주세요????

(당첨안된 자기님들은
3차에 꼭 다시 한번 더 도전해주세용!!
3차때는 수량 더 많이 늘려서 뽑을게요)

디마프 판테놀30% 앰플은
첫샘플 부터 #기가막히게 좋아서
말문이 막혔기 때문에
1차,2차~~~ 5-6차 등 최종샘플까지
몇차를 쓰시던
다 마음에 쏙 드실거에요^^

????그리고 하나더!!!!
올해 초부터 함께 샘플보고있던
#디마프 #장벽크림 #배리어크림
잊으신거아니쥬?ㅋ ㅋ ㅋ

몇일전에
최종(과연 최종일지는 아직모름)샘플이
도착했어요!!!!

지금 바로 여기서
#수분크림 #보습크림 #재생크림 #장벽크림
한번어 다되는
#디마프크림 의 체험단 신청을 받도록할게요!!

??역시 피드에 올려주실 분들만 지원해주시구용
(아쉽게도 비공개계정은 ㅠ
올려도 게시물을 다른분들이 볼 수 없어서ㅠ
이번에는 공개- 비공개로 자주 돌리시거나
비공개계정은 지원을 받지 않을게요ㅠㅠㅠ
양해부탁드려요ㅠㅠ)

??????지난번 크림 체험단 자기님들의
피드백을 바탕으로
현재 5차 샘플이 진행된거구요
지난번에 체험단 하셨던 자기님들도 참여 가능해요!

요것도 주말에 발표하고 담주 월욜에 바로 보낼 수 있도록
해볼게요!!!!!!
#소의해 ?? 에 일복 겁나 터진
#소띠 #황소자리 레효옹????"
5,"열정과다+열정폭발+열정오바
인 사람들이 함께 일하면
생기는 일.....

“누가 더 열심히 하나..”
내기도 안했는데
악착같이 이기려고한닼ㅋㅋㅋㅋ

오늘 오전부터 미팅하고
또 미팅하고있는 와중에
미팅장소인 #오지힐한남 에 퀵 보내는
열정과다 #아벤저스
#어쩔 #아찔 ㅋㅋㅋ

근데 난 또 이런 아이다의 열정이 좋다며
영상찍고있 ㅋㅋㅋㅋㅋㅋㅋㅋ

서로 주려고 안달난 사람들이
함께하면
안되던 일도 잘되고
되던일은 더 잘되는
#인생의진리

자기님들!!!
아이다 #선크림 #체험단 #최종샘플
제가 지금 바로 확인하여
아이다에 오케이 했어요!!!!!
체험단 지금 바로 나가요!!!
#던질테니 #받으세요
.
.
#디지털노마드 의 현실....
집이나 카페나 호텔이나 회사나..
정말 어딜가든.. 이러고이뜸....
#즐길수가없다 ㅠㅠㅠㅠㅠㅠ

#오지힐 #한남동카페 #사운즈한남 근처 #테라스카페"
3,"이름 정말 잘지은
#오지힐

증말 오지게도 오지에 있ㅋㅋㅋㅋ
그것도 언덕에...힐....
힐신고오면 주거옄ㅋㅋㅋㅋㅋ

#오지힐한남
#파블로바 맛있??????
(갠적으로 파블로바는 2단보단 1단이 나은듯)

당충전 제대로 하고
피터지게 #율립 대표님과 미팅하고있어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
싸우는거 아니에옄ㅋㅋㅋㅋㅋㅋ!!!! ㅋㅋㅋㅋㅋㅋ
#열띈토론"
4,"#인견속옷 #끈나시 와 #슬립원피스
모두 오늘밤 12시 마감입니다!!!!

오늘 마감되면
주문을 취합하여 발주가 이번주에 들어가게되고
1-2주 정도의 제작기간이 소요된 뒤
입고 즉시 자기님들께 순차배송 해드릴 예정이에요^^
그래서 언제오는지 문의하거나
사이트에서 배송조회를 해도 의미가 없으세요ㅠ

느긋하게 기다려주시면
배송시작할 때 인스타로 공지 올려드릴테니
인스타 피드를 잘 보고계셔주세용^^

2주-3주 내에는 발송이 나갈 예정이에요!
(조금 더 일찍 입고되면 즉시 보내드릴게용)

발송을 한 뒤
받아보시고 마음에 들어서
추가구매를 원하시는 분들을 위해
한번 더 깜짝 오픈을 할 예정이오니
이 점도 참고해주세용!!

#인생속옷 #인견 의 신세계
#한번입으면못벗어 #함부로 발들이면 큰일남

혹시 아직 구입 못하셨거나
링크 못받으신 자기님들은
링크달라고 댓글 남겨주세용!!"
1,".
.
1탄보고 오세용??
요거 누르면 1편 볼수있어요!

#레지나세안꿀팁 ??눌러보세용??"
2,"#부처님오신날 기념 깜짝퀴즈!!

Q. 다음 중 ""광(자외선)노화를 줄여""
피부 진피 속 콜라겐을 지킬 수 있는 방법 중
옳지 않은것을 고르시오!

1. 선크림을 손가락두마디(500원짜리 만큼) 가득 바른다

2. 외출을 오래하거나, 창가 또는 차안에 오래 있을떄는 시간마다 선크림을 덧바른다

3. 저분자 피쉬콜라겐을 사먹는다

4. 붉은계열의 토마토(라이코펜) 또는
주황색계열의 당근(베타카로틴)을  매일 꾸준히 섭취한다
-- 음식으로 섭취가 어려우면, 배합이 잘 된 고함량의 제품들, 예를들어 닥터에비던스 #피부영양제 
를 섭취해도 같은 효과가 있다

5.  피부과에서 진단 및 처방을 받아서 #레티노이드 계열의 #트레티노인 #스티바에이크림 을 바른다
(부작용도 많은편이라 전문의의 처방하에 아주 조심조심 바른다)

6. 쿠션이나 비비크림, 파운데이션에도 자외선차단지수가 있으니, 선크림 따로 안바르고 색조제품으로 시간마다 덧발라 자외선차단 한다!

7. 뉴스에서 #자외선지수 예보할 때
(1)나쁨, (2)매우나쁨, (3)위험 일때에는 낮시간 외출을 자제한다

이 중에서  광노화를 줄여서
진피속 #콜라겐 을 지키는 방법 중
잘못된것은? 
2가지 골라주세용!!!

힌트는 #근알의 #근거를알려주는의사 유튭영상에
자세히 나와있으니 내 피부 콜라겐 지키고 싶은 자기님들은
지금 바로 영상보고오세용!!!

맞춰주시는 5분의 자기님들께는
행복한 화장실 생활에 도움주는
#차전자피 체험키트를 보내드릴게요^^
#슬기로운화장실생활
.
.
.
#무기자차선크림 #선크림추천 #선크림듬뿍 바르기
#피부영양제 #라이코펜 #레티놀 #레티노이드 #스티바에이 #광노화 예방법"
1,"자기님들~~~
지금 당장
유튭에서 #근알의 검색하시어
(근거를 알려주는 의사)
선크림관련 영상 꼭 보세요!!!!

그외에도
콜라겐, 피부과레이저, 다이어트식품 등에 대한
#뼈때리는 진실에 대해
의사샘이 약빨고 만든 주옥같은 영상들도
많으니 관심있는 분들은
하나하나 꼭 보세용!!
#피가되고살이되는 #쓸데없이고퀄 ㅋㅋㅋㅋㅋ

어쩃든
""판매자가 그냥 좋다"" 하는거 다 믿지마시고!!!!!
의학 논문으로 조지는?ㅋㅋㅋㅋ
김연휘 의사샘의 영상을 보고

1. 선크림 잘 바르는법
2. 비싼 콜라겐 먹어봤자 효과없는 이유
3. 그렇다면 광노화로부터 우리 피부를 보호해주는
성분은 어떤것이 있는지?

(어차피 돈쓸거
장사꾼이 좋다는거말고
전세계 박사, 의사, 과학자들이 논문으로 증명하여
좋다는거 먹는게 좋겠죠?)

세계적인 의학논문들에서
연구를 아주아주 많이하여
논문이 많이 축적된
피부에 좋은 ""검증된"" 성분이 뭔지
그 해답이 이 영상에 있습니다!!!!

꼮 보고오세용^^

진짜 웃겼던건ㅋㅋㅋㅋ
돈많은 #마크저커버그 도
자외선이 얼마나 무서웠는지...
광노화 되지 않겠다는 그의 굳은 의지에 빵터졌 ㅋㅋㅋㅋ

이미 광노화되고나서
사후약방문으로 수천만원들여 레이저 하는거보다
선크림 잘바르고
자외선지수 매우나쁨인 오늘같은날은 외출 자제하며
광노화방지해주는 성분을 잘 섭취하여
예방하는것이 ??최고

오늘의상은
너무나 오스카 ㅋ ㅋ"
